stat_name,value,description
system.cpus0.bac.ftSizeDist::20-23,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::24-27,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::28-31,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::32,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::overflows,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::min_value,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::max_value,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::total,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftNumber::samples,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::mean,nan,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::stdev,nan,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::underflows,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::0,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::1,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::2,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::3,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::4,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::overflows,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::min_value,0,Number of fetch target inserted to the FTQ per cycle (Count)
system.cpus0.bac.ftNumber::max_value,0,Number of fetch target inserted to the FTQ per cycle (Count)
